Date,Calories,Weight,day,Weight_linear,Weight_spline,Calories_linear,Calories_spline,phase,fitted_weight,weight_slope
2024-05-05,1386.0,,234,64.89047619047619,64.38990545720415,1386.0,1386.0,cut,65.39540554443013,-0.02677572726620762
2024-05-06,1422.0,,235,64.86428571428571,64.30894785920965,1421.0,1164.7556234125918,cut,65.36866481026838,-0.02670625216426951
2024-05-07,1456.0,,236,64.83809523809524,64.23031434928726,1456.0,1456.0,cut,65.3419920449075,-0.026639761884794666
2024-05-08,2096.0,,237,64.81190476190476,64.15418187253489,2096.0,2096.0,cut,65.31538434709483,-0.026576088989926916
2024-05-09,1563.0,,238,64.78571428571428,64.0807273740505,1563.0,1563.0,cut,65.28883898400306,-0.026515064362797602
2024-05-10,2078.0,,239,64.7595238095238,64.01012779893206,1633.5,1395.036898961359,cut,65.26235339304397,-0.026456516230647747
2024-05-11,1704.0,65.8,240,64.73333333333333,63.94256009227753,1704.0,1704.0,cut,65.23592518343915,-0.02640027258517345
2024-05-12,1327.0,,241,64.70714285714286,63.87820119918486,1863.0,2017.09043827071,cut,65.20955213763041,-0.026346159386510713
2024-05-13,2022.0,,242,64.68095238095238,63.817228064752,2022.0,2022.0,cut,65.18323221250085,-0.026294001739302075
2024-05-14,1676.0,,243,64.6547619047619,63.75981763407693,1676.0,1676.0,cut,65.15696354040801,-0.026243623893880873
2024-05-15,1516.0,,244,64.62857142857142,63.70614685225758,1516.0,1516.0,cut,65.13074443002677,-0.026194848981475616
2024-05-16,1318.0,,245,64.60238095238095,63.65639266439192,1318.0,1318.0,cut,65.10457336704644,-0.026147499739437308
2024-05-17,1532.0,,246,64.57619047619048,63.61073201557791,1532.0,1532.0,cut,65.07844901462155,-0.02610139832898521
2024-05-18,1601.0,,247,64.55,63.56934185091348,1601.0,1601.0,cut,65.05237021371931,-0.02605636718335802
2024-05-19,1600.0,,248,64.52380952380952,63.53239911549664,1811.0,1830.1256748107085,cut,65.02633598321977,-0.02601222775631129
2024-05-20,2021.0,65.2,249,64.49761904761904,63.50008075442529,2021.0,2021.0,cut,65.00034551990552,-0.025968802997766716
2024-05-21,1873.0,,250,64.47142857142858,63.47256371279742,1873.0,1873.0,cut,64.97439819821953,-0.025925914895689555
2024-05-22,1998.0,,251,64.4452380952381,63.45002493571098,1712.5,1582.2445264554788,cut,64.94849356991051,-0.025883387030134486
2024-05-23,1552.0,,252,64.41904761904762,63.43264136826392,1552.0,1552.0,cut,64.92263136343284,-0.02584104194814548
2024-05-24,1850.0,,253,64.39285714285714,63.420589955554206,1811.0,1969.5807723639089,cut,64.89681148328643,-0.025798705372181985
2024-05-25,2070.0,65.7,254,64.36666666666666,63.41404764267978,2070.0,2070.0,cut,64.87103400909,-0.025756201029499458
