Date,Calories,Weight,day
2025-10-18,2025.0,64.6,765
2025-10-19,2022.0,64.6,766
2025-10-20,2266.0,65.1,767
2025-10-21,2263.0,64.9,768
2025-10-22,2159.0,64.6,769
2025-10-23,2037.0,,770
2025-10-24,2025.0,64.6,771
2025-10-25,2037.0,64.5,772
2025-10-26,2126.0,,773
2025-10-27,2379.0,66.0,774
2025-10-28,2351.0,,775
2025-10-29,2157.0,65.2,776
2025-10-30,2565.0,65.3,777
2025-10-31,2118.0,65.3,778
2025-11-01,2297.0,64.5,779
2025-11-02,2238.0,64.5,780
2025-11-03,2392.0,64.9,781
2025-11-04,1824.0,,782
2025-11-05,1976.0,,783
2025-11-06,2287.0,,784
2025-11-07,2355.0,65.5,785
2025-11-08,2239.0,65.5,786
2025-11-09,2238.0,65.1,787
2025-11-10,2165.0,,788
2025-11-11,2265.0,65.7,789
2025-11-12,1617.0,65.9,790
2025-11-13,2213.0,65.2,791
2025-11-14,2321.0,65.2,792
2025-11-15,2169.0,65.9,793
2025-11-16,2333.0,,794
2025-11-17,2142.0,,795
2025-11-18,2363.0,65.5,796
2025-11-19,1896.0,,797
2025-11-20,1743.0,65.5,798
2025-11-21,2185.0,65.0,799
2025-11-22,2100.0,65.8,800
2025-11-23,2220.0,65.8,801
2025-11-24,2383.0,66.9,802
2025-11-25,1674.0,65.9,803
2025-11-26,1864.0,,804
2025-11-27,2713.0,66.1,805
2025-11-28,1984.0,66.1,806
2025-11-29,2224.0,66.4,807
2025-11-30,2224.0,,808
2025-12-01,2211.0,66.9,809
2025-12-02,2283.0,65.0,810
2025-12-03,2277.0,66.2,811
2025-12-04,2294.0,66.6,812
2025-12-05,2400.0,66.6,813
2025-12-06,2221.0,66.6,814
2025-12-07,1981.0,,815
2025-12-08,2098.0,66.6,816
2025-12-09,2392.0,66.1,817
2025-12-10,1668.0,66.6,818
2025-12-11,1964.0,,819
2025-12-12,2301.0,66.4,820
2025-12-13,2299.0,66.4,821
2025-12-14,2117.0,66.4,822
2025-12-15,2137.0,,823
2025-12-16,2213.0,,824
